company_name,job_description,job_salary,job_type,job_classification,company_review,company_benefits,company_size,company_industry,job_location
VIRTUSA MALAYSIA SDN. BHD.,Data Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
StarHub Ltd,Data Engineer,"RM 8,500 - RM 11,500 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling Jaya, Selangor"
Encora Technologies Sdn Bhd,DevOps Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),3.8,No info for Company Benefits,1-10 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
VIRTUSA MALAYSIA SDN. BHD.,Data Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
ZF SALES AND SERVICE (MALAYSIA) SDN BHD,Data Engineering Admin,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Dental
Vision",11-50 employees,Automotive,Selangor
Access GOC Malaysia Sdn Bhd,DevOps Engineer,"RM 10,000 - RM 14,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Brickfields, Kuala Lumpur"
C&C I Motive Sdn Bhd.,R&D Software Engineer,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),2.6,"Medical
Parking",11-50 employees,Automotive,"Bukit Raja, Selangor"
SEEK,Finance Analytics Engineer (Hybrid Working),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Western Digital,Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Petaling, Selangor"
CENTIFIC GLOBAL SOLUTIONS (M) SDN. BHD.,English Data Annotator,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"George Town, Penang"
Rams Solutions Sdn Bhd,Data Scientist,"RM 3,000 - RM 4,000 per month",Full time,Database Development & Administration (Information & Communication Technology),3.7,"Medical
Miscellaneous allowance
Parking
Annual Leave, Birthday Leave.",51-100 employees,Computer Software & Networking,"Cyberjaya, Selangor"
"Data Science, Engineering","Data Engineer, Data Warehouse Platform",No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Western Digital,"Senior Engineer, Test Engineering(Yield Integrator)",No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
Omni Logistics (Malaysia) Sdn. Bhd.,Software Engineer (Big Data),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,Standard company's benefits,11-50 employees,Services,Kuala Lumpur
VIRTUSA MALAYSIA SDN. BHD.,Data Architect,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Agensi Pekerjaan BTI Executive Search Sdn. Bhd.,Azure Data Engineer(ID:572754),No info for Job Salary,Full time,Other (Information & Communication Technology),3.2,No info for Company Benefits,"101-1,000 employees",Human Resources & Recruitment,"Kuala Lumpur City Centre, Kuala Lumpur"
Private Advertiser,Data Governance Expert- Cloud,"RM 12,000 - RM 18,000 per month",Contract/Temp,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Western Digital,Data Quality Engineer,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
VIRTUSA MALAYSIA SDN. BHD.,Data Architect,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Ecloudvalley Technology Sdn Bhd,Cloud Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.8,"Medical
Parking","101-1,000 employees",Consulting Services,"KL Eco City, Kuala Lumpur"
GREYWOLF NETWORKS SDN BHD,Python Programmer,"RM 7,000 - RM 9,000 per month",Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Bangsar South, Kuala Lumpur"
SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,Senior Technical Data Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.1,"Medical
Education support
Dental
Parking
Vision
Flexible benefits, Health check benefit, Work from","1,001-5,000 employees",Banking & Financial Services,Kuala Lumpur
Suruhanjaya Tenaga,Executive - Data Management,"RM 4,500 - RM 6,750 per year",Contract/Temp,Database Development & Administration (Information & Communication Technology),4.1,"Medical
Dental
Sports (e.g. Gym)
Insurance","101-1,000 employees",Services,Putrajaya
Avanade Malaysia Sdn Bhd,Power Platform Consultant,No info for Job Salary,Full time,Consultants (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking
Vision
Training & Microsoft Certificate",51-100 employees,Computer Software & Networking,Kuala Lumpur
MESCADA SDN. BHD.,Data Scientist / AI Programmer,"RM 6,500 - RM 9,750 per month",Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,51-100 employees,Computer Software & Networking,"Bangsar South, Kuala Lumpur"
VIRTUSA MALAYSIA SDN. BHD.,Data Modeller,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Softbank Investment advisers,"Senior Data Engineer, Data Platform Infrastructure",No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
INSPUR COMMUNICATION MALAYSIA SDN. BHD.,Data Center MEP Engineer,"RM 5,000 - RM 7,000 per month",Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
ACGT Sdn Bhd,Data Scientist,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.2,Medical,11-50 employees,"Pharmaceuticals, Biotechnology & Medical","Bukit Jalil, Kuala Lumpur"
ANHSIN TECHNOLOGY SDN BHD,Full Stack AI Software Developer,"RM 5,000 - RM 7,500 per month",Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Carsome Sdn Bhd,Senior DevOps Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Dental","1,001-5,000 employees",Automotive,"Mutiara Damansara, Selangor"
AIA Digital+ Malaysia,DevOps Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4,"Medical
Education support
Sports (e.g. Gym)
Miscellaneous allowance
Dental
Vision","101-1,000 employees",Consulting & Strategy,Kuala Lumpur
ZETTA LOGIC SDN. BHD.,AI Prompt Engineer,"RM 3,400 - RM 5,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kelana Jaya, Selangor"
VIRTUSA MALAYSIA SDN. BHD.,Data Modeller,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
AGODA INTERNATIONAL (MALAYSIA) SDN. BHD.,Partner Performance Specialist - Malaysia,No info for Job Salary,Full time,Sales Representatives/Consultants (Sales),4.2,"Medical
Miscellaneous allowance
Discounted Hotel Stay anywhere in the world","1,001-5,000 employees",Services,Kuala Lumpur
UST Global (M) Sdn Bhd,AI Support Engineer,"RM 3,500 - RM 4,500 per month",Full time,Engineering - Software (Information & Communication Technology),3.9,No info for Company Benefits,1-10 employees,Computer Software & Networking,Penang
Prudential Assurance Malaysia Berhad,Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.1,No info for Company Benefits,11-50 employees,Insurance,Kuala Lumpur
MOL ACCESSPORTAL SDN. BHD.,Software Engineer (AIOps),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Shah Alam, Selangor"
Huawei Technologies (Malaysia) Sdn. Bhd,Pre-Sales Solution Manager (Data Center/UPS/Power),No info for Job Salary,Contract/Temp,Electrical/Electronic Engineering (Engineering),3.6,"Medical
Miscellaneous allowance
Insurance and etc.","1,001-5,000 employees",Telecommunications & Internet Service Providers,Kuala Lumpur
Spinologic Sdn Bhd,DevOps Engineer,"RM 5,500 - RM 8,000 per month",Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kelana Jaya, Selangor"
Cognizant Technology Solutions,Team Manager (Operations),No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.3,"Medical
Dental
Vision","More than 10,000 employees",Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
Beyondsoft,Backend Developer,"RM 7,000 - RM 8,500 per month",Full time,Engineering - Software (Information & Communication Technology),2.9,"Medical
insurance","101-1,000 employees",Computer Software & Networking,Kuala Lumpur
Invenio Potential,Statistician,"RM 2,500 - RM 3,500 per month",Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4,"Medical
Miscellaneous allowance
Sports (e.g. Gym)
Parking
Travel allowance",11-50 employees,Real Estate & Property,"Johor Bahru, Johor"
Data Analytics,Data Scientist (Analytics) - Ads,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Software International Corporation (M) Sdn Bhd,SENIOR / DATA ENGINEER,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),3.8,"Generous Annual Leave
Flexi Working Arrangement
Performance Bonus
Comprehensive Insurance Protection
Hybrid Working Mode
Individual Expenses Benefits
Company Trip/Event
Training (In-house & External)","101-1,000 employees",Information & Communication Technology,"Kuala Lumpur City Centre, Kuala Lumpur"
D2S Resources Sdn Bhd,"Assistant Manager, Data Engineering",No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Dental",51-100 employees,"Manufacturing, Transport & Logistics","Damansara, Selangor"
